title,author,year,empirical_data,subsidy_type,vector_type,vector,biotic_abiotic,recipient,subgroups,ecotone,climate_zone,mediterannean,continent,country,latlon,experimental,start,end,initials,,,,,,,,,,,,
Skeletal Inventories from Wildebeest Drownings at Lakes Masek and Ndutu in the Serengeti Ecosystem of Tanzania,Capaldo and Peters,1995,Yes,Drowned wildebeest carcasses,Mammal,Wildbeest carcass (drowned),Biotic,Lakes and Rivers,No,Terrestrial - Freshwater,Subtropical,No,Africa,Tanzania,"-3.03, 35.0",Yes,1991,1991,FL,,,,,,,,,,,,
Invasive aquarium fish transform ecosystem nutrient dynamics,Capps and Flecker,2013,Yes,"Invasive Sailfin Catfish (N, C, P)",Fish,Invasive sailfin catfish,Biotic,River,No,Freshwater - Freshwater,Tropical,No,North America,Mexico,"17.5, -92.0",Yes,2008,2010,FL,,,,,,,,,,,,
Invasive Fishes Generate Biogeochemical Hotspots in a Nutrient-Limited System,Capps and Flecker,2013,Yes,"Invasive Sailfin Catfish (N, C, P)",Fish,Invasive sailfin catfish,Biotic,River,No,Freshwater - Freshwater,Tropical,No,North America,Mexico,"17.5, -92.1",Yes,2008,2010,FL,,,,,,,,,,,,
Modelling nutrient transport and transformation by pool-breeding amphibians in forested landscapes using a 21-year dataset,Capps et al.,2015,Yes,"Pool-breeding amphibian eggs (N, C, P)",Amphibian,Wood frog eggs,Biotic,Aquatic habitats,Yes,Terrestrial - Freshwater,Deciduous forest,No,North America,United States,"42.7, -83.2",Yes,1985,2005,FL,,,,,,,,,,,,
Modelling nutrient transport and transformation by pool-breeding amphibians in forested landscapes using a 21-year dataset,Capps et al.,2015,Yes,"N, C, P",Amphibian,Wood frog juveniles,Biotic,Terrestrial habitats,,Freshwater - Terrestrial,Deciduous forest,No,North America,United States,"42.7, -83.3",Yes,1985,2005,FL,,,,,,,,,,,,
Ecosystem Subsidies: Terrestrial Support of Aquatic Food Webs from 13c Addition to Contrasting Lakes,Carpenter et al.,2005,Yes,Inorganic 13C,Human-added 13C,NaHCO3 (sodium bicarbonate),Abiotic,Unproductive lake,Yes,Terrestrial - Freshwater,"Boreal forest, wetlands",No,North America,United States,"46.2, -89.5",Yes,2001,2002,FL,,,,,,,,,,,,
Ecosystem Subsidies: Terrestrial Support of Aquatic Food Webs from 13c Addition to Contrasting Lakes,Carpenter et al.,2005,Yes,"Inorganic 13C, liquid fertilizer (stimulate primary prod.)",Human-added 13C,NaHCO3 (sodium bicarbonate),Abiotic,Nutrient-enriched lake,,Terrestrial - Freshwater,"Boreal forest, wetlands",No,North America,United States,"46.2, -89.6",Yes,2001,2002,FL,,,,,,,,,,,,
Ecosystem Subsidies: Terrestrial Support of Aquatic Food Webs from 13c Addition to Contrasting Lakes,Carpenter et al.,2005,Yes,Inorganic 13C,Human-added 13C,NaHCO3 (sodium bicarbonate),Abiotic,Dystrophic lake,,Terrestrial - Freshwater,"Boreal forest, wetlands",No,North America,United States,"46.2, -89.7",Yes,2001,2002,FL,,,,,,,,,,,,
Accelerated modern human–induced species losses: Entering the sixth mass extinction,Ceballos et al.,2015,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Inter-annual variation in responses of water chemistry and epilithon to Pacific salmon spawners in an Alaskan stream,Chaloner et al.,2007,Yes,Salmon derived nutrients,Fish,Pacific salmon,Biotic,Stream water chemistry,Yes,Marine - Freshwater,Mid-latitude oceanic,No,North America,United States,"58.3, -134.6",Yes,2000,2005,FL,,,,,,,,,,,,
